merchant_name,merchant_url,merchant_category,merchant_tags
Veski KÕRTS,http://veskikorts.ee/,Food And Drink,"'{""Restaurant""}'"
Livedale,https://www.livedale.co.uk/,House And Garden,"'{""Furniture"",""Household Equipment""}'"
Locke Burger,http://lockeburger.ie/,Food And Drink,"'{""Restaurant""}'"
Prodcom Mixt,https://www.listafirme.ro/prodcom-mixt-srl-1355818/,Groceries,"'{""Groceries - Other""}'"
Smullende Steven,http://www.smullendesteven.nl/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
360 Bar,http://360bar.hu/,Food And Drink,"'{""Bar"",""Drinking""}'"
Hot Pasta Ristorante,http://www.hotpasta.ch/,Food And Drink,"'{""Cafe"",""Restaurant""}'"
Galerie Art,http://www.galerieart.cz/,Culture,"'{""Exhibition""}'"
Ristorante da Salvatore,http://salvatore-burgau.de/speisekarte/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Farrier & Draper Bar & Restaurant,http://farrieranddraper.ie/?utm_source=mybusiness&utm_medium=organic,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Allreal Generalunternehmung,http://www.allreal.ch/,Professional Services,"'{""Real Estate Sale And Lease"",""Services - Mix""}'"
SailIn Garage,https://www.irelandbd.com/company-sail-in-garage_8728,Car,"'{""Gas Station""}'"
Maya Top,http://www.librariamaya.ro/,Consumer Goods,"'{""Bookstore""}'"
Vodnesvety.sk,http://www.vodnesvety.sk/kupalisko-cajka-bojnice,Car,"'{""Wellness"",""Beauty Service""}'"
Cucina Moderna,https://www.facebook.com/Cucina-Moderna-633638466652172/?ref=br_rs,Food And Drink,"'{""Restaurant""}'"
Gigantti,http://www.gigantti.fi/,Electronics,"'{""Electronics Goods""}'"
McGeough Fuels,http://mcgeoughsnisa.co.uk/,Groceries,"'{""Groceries - Other""}'"
Cakes By Kee,http://www.cakesbykee.nl/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Crowthorne – Timber (Building & Fencing Supplies),https://www.lawsons.co.uk/ascot,House And Garden,"'{""Household Equipment""}'"
CBA,https://www.cba.cz/,Groceries,"'{""Groceries - Other""}'"
London Brothers,http://www.londonbrothers.ro/,Food And Drink,"'{""Restaurant""}'"
Mopiel,https://incaltaminte-mopiel.ro/,Fashion,"'{""Footwear"",""Clothing - Other""}'"
Mellor's Garage,https://www.mellors-garage.co.uk/,Car,"'{""Car Repair Shop""}'"
SevenSins,https://www.sevensins.ro/,Fashion,"'{""Underwear"",""Clothing - Other""}'"
Blue Badger Bar & Grill,http://bluebadgerwi.com/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Murtagh's Topline,https://www.murtaghs.ie/,House And Garden,"'{""Tools"",""Reconstruction"",""Household Equipment""}'"
Carwash Papa,https://carwash-de-papa.business.site/,Car,"'{""Car - Washing""}'"
Bakkerij Harput,https://www.facebook.com/mehmet.ulgen.355,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Tostoria,https://m.facebook.com/tostoria,Food And Drink,"'{""Restaurant""}'"
Mark Pjetri,http://www.markpjetri.cz/,Fashion,"'{""Fashion Accessories"",""Jewellery""}'"
FLORĂRIA VANY,http://florariavany.business.site/,Consumer Goods,"'{""Florists""}'"
Cool Madrid,http://www.salacoolmadrid.com/,Food And Drink,"'{""Bar"",""Music Club"",""Drinking""}'"
Chiropractie Centraal,https://chiropractiecentraal.com/,Health,"'{""Clinic"",""Alternative Medicine""}'"
Ultimate Fitness,http://www.ultimatefitness.cz/,Sport,"'{""Fitness / Bodybuilding"",""Sports Field""}'"
OC Galerie Teplice Parking,https://www.galerieteplice.cz/,Car,"'{""Parking""}'"
Restoran Kaks Kokka,http://kakskokka.ee/,Food And Drink,"'{""Restaurant""}'"
Wkl Auto,http://wklauto.ro/,Car,"'{""Car - Washing""}'"
Květinářství AB - Vizovice,http://www.abkvetinarstvi.cz/kontakty/,Consumer Goods,"'{""Florists""}'"
OLEŃKA Studio Firan,http://www.e-olenka.pl/,House And Garden,"'{""Household Equipment""}'"
Salice,http://www.salice.ro/,House And Garden,"'{""Furniture"",""Household Equipment""}'"
The Black Sheep,http://galwaybaybrewery.com/blacksheep/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Pizza Circus,http://www.pizzacircus.es/,Food And Drink,"'{""Restaurant""}'"
Het Koffielokaal,http://www.hetkoffielokaal.nl/,Food And Drink,"'{""Cafe"",""Restaurant""}'"
Salón PINK,http://www.salonpink.sk/,Beauty,"'{""Hairdressers"",""Wellness"",""Beauty Salon"",""Beauty Service""}'"
Nicholson Hardware,http://www.nicholsonhardware.com/,House And Garden,"'{""Tools"",""Reconstruction""}'"
Safari Supermarket,http://www.safari-supermarket.nl/,Groceries,"'{""Groceries - Other""}'"
Priority Auto,https://priorityauto.ro/,Car,"'{""Car Repair Shop""}'"
