merchant_name,merchant_url,merchant_category,merchant_tags
Recharge,https://www.recharge.com/en,Digital Services,"'{""Shopping Online"",""Subscription"",""Online Digital Services""}'"
Farby Lux,https://www.farbylux.sk/,House And Garden,"'{""Reconstruction""}'"
Glacio,https://www.glacio.sk/,Food And Drink,"'{""Cafe""}'"
Cummins Sports,https://www.cumminssports.ie,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Veterinární klinika Hradec Králové,https://www.veterinahk.cz/index.php/kontakt/,Pets,"'{""Veterinary""}'"
Kantýna Jifra,http://www.kantynajifra.cz/,Food And Drink,"'{""Restaurant Without A Waiter"",""Canteen""}'"
EMBER Kebab,https://www.facebook.com/emberkebab/,Food And Drink,"'{""Restaurant Without A Waiter"",""Kebab""}'"
Medium,https://medium.com/,Digital Services,"'{""Various Digital Services""}'"
GOL Airlines,https://www.voegol.com.br/en,Travel,"'{""Air Tickets"",""Long Distance Transport""}'"
Pekárny NOPEK,https://www.nopek.cz/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Warren James,https://www.warrenjames.co.uk/,Fashion,"'{""Fashion Accessories"",""Jewellery""}'"
Bleble,http://www.bleble.sk/,Children,"'{""Childrens Equipment""}'"
Penzion a restaurace Na Bojišti,http://www.nabojisti.cz/kontakt,Food And Drink,"'{""Accommodations"",""Restaurant"",""Hotels And Guesthouses""}'"
assu2000.fr,https://www.assu2000.fr/,Financial Services,"'{""Shopping Online""}'"
Studio Jasyko,http://www.jasyko.cz/,Electronics,"'{""Electronics Goods"",""Audio Technics""}'"
Asana stav,http://www.asanastav.cz/seznam/kontakt/kontakt.htm,Professional Services,"'{""Construction Industry"",""Services - Mix""}'"
bilete.ro,https://www.bilete.ro/,Culture,"'{""Tickets-Booking"",""Shopping Online""}'"
The Ship Inn,https://www.shipinn.scot/,Travel,"'{""Accommodations"",""Restaurant"",""Drinking""}'"
Lion sport,http://www.lionsport.cz/,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Nářadí Lukovský,https://www.naradilukovsky.cz/,House And Garden,"'{""Tools"",""Reconstruction""}'"
Browar Rzemieślniczy Piekarnia Piwa,https://piekarniapiwa.pl/strona-glowna/,Food And Drink,"'{""Beer-Cellar"",""Drinking""}'"
Fresh UTD,https://www.freshutd.sk/,Food And Drink,"'{""Restaurant"",""Italian Restaurant / Pizzeria""}'"
Craaf,http://www.craaf.cz/,Fashion,"'{""Clothing - Other""}'"
Nevila,https://nevila.ro/,Groceries,"'{""Groceries - Other""}'"
Pizzburg,http://www.pizzburg.cz/,Food And Drink,"'{""Restaurant"",""Italian Restaurant / Pizzeria"",""Steak House / Burgers"",""Online Food And Drink""}'"
